-4,-6,-2,-1,-1,-1,-1,-7,finger3
3,0,-1,-1,-1,0,0,-1,finger3
1,-3,-2,0,0,-1,1,-1,finger3
-1,3,1,0,-1,0,0,1,finger3
7,1,-1,-2,-2,-1,-1,-2,finger3
3,1,-2,1,0,-1,1,-2,finger3
9,5,-1,2,-2,-1,1,1,finger3
-3,-6,2,-1,-2,-1,1,-1,finger3
0,2,0,2,-1,1,0,-5,finger3
7,2,0,-1,-1,-1,-3,10,finger3
0,0,-1,-1,-1,-1,1,-2,finger3
-6,-6,-4,-2,-2,-2,-1,-6,finger3
0,0,0,-2,-1,0,3,6,finger3
2,1,0,0,1,1,1,-1,finger3
-3,4,0,0,-1,-1,2,-1,finger3
-8,-9,-3,-2,-4,-2,-2,-2,finger3
3,1,3,0,0,0,1,-1,finger3
-8,-11,-5,-2,-1,-2,0,-9,finger3
8,1,0,-1,-1,0,5,-1,finger3
-2,0,-1,0,-1,-1,0,-1,finger3
-1,-2,-2,-2,-3,-5,-4,-4,finger3
3,1,3,0,0,0,-2,5,finger3
1,-1,-1,0,2,8,12,2,finger3
0,-4,-3,-2,-4,-12,-21,-18,finger3
6,1,-1,-1,0,2,6,-15,finger3
5,-9,-3,-1,-5,-3,-2,1,finger3
-9,-5,-1,0,0,1,-10,0,finger3
-3,2,-1,-3,-3,-6,-5,-2,finger3
-1,0,-1,-1,-1,-1,0,-2,finger3
-4,-2,-1,0,0,1,2,-1,finger3
3,-7,-1,1,1,-1,0,-4,finger3
-3,-1,-1,0,-2,0,1,-3,finger3
3,-30,-9,-2,0,0,0,-3,finger3
-5,-40,-3,-1,-1,1,0,-2,finger3
-5,-13,-4,-2,-1,-2,0,-7,finger3
1,-3,-1,-2,-1,-1,0,0,finger3
-7,-6,0,-1,-1,-2,1,-1,finger3
-4,-10,-4,-2,-3,-1,-1,-4,finger3
-1,0,-4,-2,-2,-1,-1,-3,finger3
1,1,0,-1,-1,-1,1,-2,finger3
-1,3,1,1,-2,0,0,0,finger3
5,10,3,2,0,0,-2,13,finger3
1,4,1,1,0,0,0,-3,finger3
-8,-6,-2,-2,-1,-1,0,-3,finger3
9,6,3,0,0,0,2,1,finger3
1,1,0,-1,-1,-1,2,0,finger3
0,0,0,0,0,0,1,1,finger3
-3,-1,-2,-1,-1,-2,0,-3,finger3
-8,0,0,-1,-2,-1,0,-1,finger3
1,1,-1,-1,-3,-2,1,1,finger3
4,0,-2,0,-1,-1,0,1,finger3
1,-1,0,0,-2,-1,1,-5,finger3
0,0,0,1,-1,0,0,-1,finger3
1,-2,-2,-1,1,0,-1,1,finger3
2,1,-1,0,-1,-1,-1,-8,finger3
6,6,0,1,-1,-2,0,2,finger3
-3,-3,-1,0,2,5,10,12,finger3
0,0,-1,0,-1,2,6,-1,finger3
-3,-3,-4,-1,-1,4,10,-2,finger3
-6,-3,-2,-3,-1,-2,-1,-5,finger3
-5,1,0,0,-2,-4,-3,1,finger3
-1,7,2,1,0,1,1,10,finger3
5,5,1,0,0,0,-1,7,finger3
-5,3,0,-2,-1,-2,1,-3,finger3
4,36,10,1,1,1,2,-1,finger3
7,-27,-2,1,0,0,1,3,finger3
-4,-5,-9,-4,-3,-2,1,-2,finger3
1,8,1,-1,0,0,0,-5,finger3
-2,-3,0,-1,-1,-1,-1,-2,finger3
